date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-04-27,718553,147,142242786,967638,2.4099622,21934673309.82489816546208032,9101666968.793979649121538256,521879354644.934,0.000863958180916478,1.162792637813721248847797078,0.00049536,0.666700048440294912,257.826720139669,347006.3929391143452423614948,1837.5,4.11527245878135,2473072.793542155,1837.5,2473072.793542155,33.75482431,47.12911674276047,1,1345.8899556692,201.94431613763632,28.773219462006622,16297523.59576723,298425,671223,482820.57236337,649823358.734313819973917204,2.90849082285454,3914.508584635971870799958168,0.04444444,59.817325381342419248,1952245.93558889,2627508195.705107040696035188,0.0337357926419197,0.017446372592759003,0.03896012363226764
2017-04-28,726149,136,135543712,996644.941176471,2.40107994,21971111453.64577294766497803,9150512276.805914339916339316,521974519553.627,0.000818980271843324,1.103973249111065628253744351,0.0004972,0.670218219326080348,249.902821169552,336865.2932598975007261409557,1700,3.80692979855275,2291574.764389253,1700,2291574.764389253,33.3845268,46.713799451554536,1,1347.98515552309,198.8482620725356,29.652776327792544,16299223.59576713,305139,697434,488226.8870093,658122596.215785349267194737,2.32318318033864,3131.616440657408482692539198,0.03381959,45.5883052858771393331,1620266.9381963,2184095780.673460308627602567,0.03367856754899887,0.01730600757207185,0.03894491028060018
2017-04-29,827017,173,168083774,971582.50867052,2.41223986,22132640553.97397114474218618,9175140885.441950796298773522,521974519553.626,0.000742420375103351,1.007995467726912362299862237,0.0004488,0.60934260573446964,254.114903569457,345015.6806973627641684019558,2162.5,4.84199622883183,2936059.235518695625,2162.5,2936059.235518695625,40.74749256,46.72334184235339,1,1357.71525341905,197.086575070756,30.802638978744007,16301386.09567707,342279,796092,400058.63112005,543165705.7336369284935069525,1.5749221274876,2138.29579543709620588647878,0.030327695,41.17637410254065558975,1253782.90631586,1702280176.381110884704241133,0.03367807112318848,0.017199662745651104,0.03894000249863832
2017-04-30,726257,151,145882662,966110.344370861,2.44637619,22530412834.84567901265539318,9209709000.770346528264328116,521974519553.627,0.000717779415656128,0.9919398373695313589559204032,0.0004488,0.62022201988684872,198.882320489826,274846.6901381093628247013394,1887.5,4.22576175242914,2608442.65271039875,1887.5,2608442.65271039875,46.54719409,47.36359556711758,1,1381.9563722969,207.16934519329203,27.75268190424515,16303273.59567704,277080,648485,350252.55362286,484033748.392373045034547134,1.63642802903464,2261.472142529677238546464616,0.026850525,37.1062541232672208725,1061199.03040853,1466530762.348359788781452557,0.0335567931933569,0.016179079976567923,0.03878270320258536
2017-05-01,713866,150,147418239,982788.26,2.52560356,23429544485.43723412239258831,9276810065.842955647301901708,521974519553.627,0.000775120657817613,1.113803031438474413129333363,0.000486,0.6983535631770882,231.422348959668,332540.3744748881858315297916,1875,4.19729385466303,2694265.2900350625,1875,2694265.2900350625,35.75992753,48.97351050563957,1,1436.9414880187,215.80386783024136,31.886995612411695,16305148.59567638,298563,677526,455961.45520051,655189931.914992656971129537,2.13522221326199,3068.189384375265899829119213,0.035560515,51.0983793388113016305,1446668.56526254,2078778080.838232040429929498,0.03365316615258852,0.01712850918775824,0.038937488917166384
2017-05-02,782531,158,154942966,980651.683544304,2.55708418,23870678471.22738689145249085,9335116409.167744230441439835,521974519553.627,0.000819320251104177,1.199336606748882328347096885,0.000486,0.71141606727580278,271.764430689391,397813.9557746790727046262434,1975,4.4206140694925,2891042.66022574175,1975,2891042.66022574175,37.50891474,49.647742754470805,1,1463.81906846873,228.99759450244966,32.40485861491237,16307123.59567634,331695,730061,434753.27691529,636400136.8278676262382238817,2.11551521474707,3096.731510982481309739154121,0.03967559,58.0778851947472593007,1544455.15319346,2260802903.639380304851650506,0.03320754602067159,0.01718585857482006,0.03892088213532558
2017-05-03,691453,132,131378316,995290.272727273,2.6373993,24779696474.70418749262808083,9395504290.807446819016974144,521974519553.627,0.000846712806738716,1.286503011961954366137665048,0.0005,0.759704472238455,250.393298059619,380449.8167088580216099488973,1650,3.692797600428,2507024.7583869015,1650,2507024.7583869015,36.76165293,51.169596008403566,1,1519.40894447691,236.4286721715927,32.73833378612611,16308773.59566627,295724,663288,443635.48138974,674063718.5108907032641409034,2.32916692828584,3538.957064017314884321759954,0.04371725,66.4243806779331936975,1544908.47352886,2347347753.077919426234488623,0.03327216202729665,0.01731967425469106,0.03910809916672747
2017-05-04,851617,168,163137792,971058.285714286,2.64748386,25115973329.48209164623944954,9486733319.176011973668074885,521974519553.626,0.000854236932050694,1.315379699114508904914814867,0.0005,0.7699150257744,303.518070089235,467366.245511499021465957168,2100,4.69931911070593,3233643.10825248,2100,3233643.10825248,31.78885764,51.46547075586327,1,1539.8300515488,243.42998674030528,34.845476413869555,16310873.59557622,355309,825576,513100.3379051,790087319.76611683160241888,2.42238608440135,3730.06288921482655808831088,0.035,53.894051804208,1999863.81401573,3079450399.826421301834062624,0.03327859154286682,0.01718661583938473,0.039129440338202766
2017-05-05,660727,129,123998980,961232.403100775,2.61101197,24955664079.91416401875055516,9557851273.421573319341695052,521974519553.627,0.00097827838079527,1.496619614252403734653559361,0.0005424,0.829790880291759072,262.114039679705,400995.2797246524319054607449,1612.5,3.6080490524481,2466883.83936294525,1612.5,2466883.83936294525,30.92282322,50.621777735447395,1,1529.85044301578,240.46909134149277,34.69226622209816,16312486.09551617,267934,628908,527522.53511969,807030584.0536651101268587082,3.09844831125366,4740.162521632907150722962755,0.04444444,67.9933462235882532632,1948638.93053392,2981126131.155113260850385258,0.033282287042260925,0.017222798776715297,0.0391485550672542
2017-05-06,867643,168,162111432,964949,2.6710611,25667501899.42975192837152344,9609477624.379506981176047321,521974519553.626,0.000824428327676669,1.2970611416492203196481917,0.00049281,0.7753308319930034706,296.347357808965,466239.0038533169527959198409,2100,4.69824974726552,3303899.570189946,2100,3303899.570189946,34.43527601,51.55714280968709,1,1573.28550961426,240.76379130711695,31.700165127742718,16314586.09551609,359458,823961,473775.38338097,745383945.4852207943593246322,1.79810528652969,2828.932992057958328565937379,0.032183545,50.6339049965184693517,1481568.62999429,2330930457.069067556403902575,0.03330208077532248,0.01583188518094911,0.03890558440938651
